time_ground,flux_ground
5.965008600000000172e+01,1.000024000000000024e+00
5.965355799999999675e+01,1.001135000000000108e+00
5.965702999999999889e+01,1.000272000000000050e+00
5.966050200000000103e+01,9.999789999999999512e-01
5.966397400000000317e+01,9.981790000000000385e-01
5.966744599999999821e+01,1.001609999999999889e+00
5.967091800000000035e+01,9.975300000000000278e-01
5.967439099999999996e+01,9.999139999999999695e-01
5.967786300000000210e+01,9.982010000000000050e-01
5.968133499999999714e+01,9.998740000000000405e-01
5.968480699999999928e+01,9.994729999999999448e-01
5.968827900000000142e+01,9.971109999999999696e-01
5.969175099999999645e+01,1.002156999999999965e+00
5.969522299999999859e+01,9.985009999999999719e-01
5.969869500000000073e+01,1.000637999999999916e+00
5.970216800000000035e+01,1.000602999999999909e+00
5.970564000000000249e+01,9.997350000000000403e-01
5.970911199999999752e+01,1.002887000000000084e+00
5.971258399999999966e+01,1.002034000000000091e+00
5.971605600000000180e+01,1.002035999999999927e+00
5.971952799999999684e+01,9.996479999999999810e-01
5.972299999999999898e+01,1.000369999999999981e+00
5.972647200000000112e+01,1.001044999999999963e+00
5.972994500000000073e+01,9.987580000000000346e-01
5.973341700000000287e+01,1.000199999999999978e+00
5.973688899999999791e+01,9.988430000000000364e-01
5.974036100000000005e+01,9.989670000000000494e-01
5.974383300000000219e+01,1.004078000000000026e+00
5.974730499999999722e+01,9.997030000000000083e-01
5.975077699999999936e+01,9.965380000000000349e-01
5.975424900000000150e+01,9.986709999999999754e-01
5.975772099999999654e+01,1.000097000000000014e+00
5.976119400000000326e+01,9.991719999999999491e-01
5.976466599999999829e+01,1.001924000000000037e+00
5.976813800000000043e+01,1.000477000000000061e+00
5.977161000000000257e+01,1.000334000000000056e+00
5.977508199999999761e+01,1.001862999999999948e+00
5.977855399999999975e+01,9.975100000000000078e-01
5.978202600000000189e+01,1.002517000000000102e+00
5.978549799999999692e+01,9.970799999999999663e-01
5.978897099999999654e+01,9.979829999999999535e-01
5.979244299999999868e+01,9.990630000000000344e-01
5.979591500000000082e+01,1.000334000000000056e+00
5.979938700000000296e+01,9.991689999999999738e-01
5.980285899999999799e+01,1.001063999999999954e+00
5.980633100000000013e+01,9.971959999999999713e-01
5.980980300000000227e+01,1.001549999999999940e+00
5.981327499999999731e+01,9.974910000000000165e-01
5.981674799999999692e+01,1.003522999999999943e+00
5.982021999999999906e+01,1.001219999999999999e+00
5.982369200000000120e+01,1.001246999999999998e+00
5.982716400000000334e+01,1.001570000000000071e+00
5.983063599999999838e+01,1.000591999999999926e+00
5.983410800000000052e+01,9.963800000000000434e-01
5.983758000000000266e+01,1.004132000000000025e+00
6.042436899999999866e+01,1.001047999999999938e+00
6.042784100000000080e+01,9.998439999999999550e-01
6.043131300000000294e+01,1.000464999999999938e+00
6.043478499999999798e+01,9.995920000000000361e-01
6.043825700000000012e+01,9.999700000000000255e-01
6.044172999999999973e+01,9.977730000000000210e-01
6.044520200000000187e+01,9.998639999999999750e-01
6.044867399999999691e+01,9.987899999999999556e-01
6.045214599999999905e+01,9.998489999999999878e-01
6.045561800000000119e+01,1.000242999999999993e+00
6.045909000000000333e+01,9.996620000000000505e-01
6.046256199999999836e+01,1.000034000000000090e+00
6.046603400000000050e+01,1.001414000000000026e+00
6.047297900000000226e+01,9.994819999999999816e-01
6.047645099999999729e+01,9.997859999999999525e-01
6.047992299999999943e+01,9.984189999999999454e-01
6.048339500000000157e+01,9.984990000000000254e-01
6.048686699999999661e+01,1.001500999999999975e+00
6.049033899999999875e+01,1.001060999999999979e+00
6.049381100000000089e+01,1.000625000000000098e+00
6.049728400000000050e+01,9.996169999999999778e-01
6.050075600000000264e+01,1.001524000000000081e+00
6.050422799999999768e+01,1.002416999999999891e+00
6.050769999999999982e+01,1.000455000000000094e+00
6.051117200000000196e+01,9.988869999999999694e-01
6.051464399999999699e+01,9.983729999999999549e-01
6.051811599999999913e+01,1.001910000000000078e+00
6.052158800000000127e+01,1.000042000000000098e+00
6.052506100000000089e+01,1.000591999999999926e+00
6.052853300000000303e+01,9.996239999999999570e-01
6.053200499999999806e+01,9.986369999999999969e-01
6.053547700000000020e+01,9.972389999999999866e-01
6.053894900000000234e+01,9.961259999999999559e-01
6.054242099999999738e+01,1.000496999999999970e+00
6.054589299999999952e+01,9.984530000000000349e-01
6.054936500000000166e+01,9.983170000000000099e-01
6.055283699999999669e+01,1.000512999999999986e+00
6.055631000000000341e+01,1.002555000000000085e+00
6.055978199999999845e+01,1.000674999999999981e+00
6.056325400000000059e+01,1.001851000000000047e+00
6.056672600000000273e+01,1.000580999999999943e+00
6.057019799999999776e+01,1.001795999999999909e+00
6.057366999999999990e+01,9.995140000000000136e-01
6.057714200000000204e+01,9.975100000000000078e-01
6.058061399999999708e+01,9.984910000000000174e-01
6.058408699999999669e+01,1.001961000000000102e+00
6.058755899999999883e+01,1.001198000000000032e+00
6.059103100000000097e+01,1.000518000000000018e+00
